k_size	kmer_mode	total_transcripts	alignment_high_confident_all	kmer_all_genomes	overlap	alignment_only	kmer_only	neither	overlap_fraction_of_alignment	overlap_fraction_of_kmer	jaccard_index
15	strict	197211	126476	95150	60101	66375	35049	35686	0.47519687529649896	0.6316447714135576	0.3720848165918588
15	basic	197211	126476	182890	117809	8667	65081	5654	0.9314731648692242	0.6441522226474931	0.6150075434465981
18	strict	197211	126476	26955	18673	107803	8282	62453	0.14764065909737817	0.692747171211278	0.13856691253951528
18	basic	197211	126476	38847	22237	104239	16610	54125	0.17581991840349157	0.5724251550956316	0.15541003312693066
20	strict	197211	126476	24128	17133	109343	6995	63740	0.13546443594041557	0.7100878647214854	0.12836496317552126
20	basic	197211	126476	36567	21597	104879	14970	55765	0.17075966981877985	0.5906144884732135	0.15268724460218033
22	strict	197211	126476	22373	16075	110401	6298	64437	0.127099212498814	0.7184999776516336	0.12107039028725504
22	basic	197211	126476	35378	21277	105199	14101	56634	0.168229545526424	0.601418960936175	0.1513547735404796
24	strict	197211	126476	20641	14971	111505	5670	65065	0.11837028369018628	0.7253040065888281	0.11329135955685378
24	basic	197211	126476	34388	21027	105449	13361	57374	0.16625288592302098	0.6114633011515646	0.15036792837374943
