k_size	gene_name	associated_gene_ids	total_transcripts	strict_shared_transcripts_all_genomes	basic_shared_transcripts_all_genomes	strict_shared_gene_all_genomes	basic_shared_gene_all_genomes
15	BNC2-AS1	ENSG00000234779.2	2	0	0	False	False
15	ENSG00000273321	ENSG00000273321.1	1	0	1	False	True
15	FER1L6-AS1	ENSG00000181171.5	1	0	1	False	True
15	ENSG00000273325	ENSG00000273325.1	1	1	1	True	True
15	ENSG00000272004	ENSG00000272004.2	4	4	4	True	True
15	FER1L6-AS2	ENSG00000253868.5	4	0	4	False	True
15	ENSG00000273328	ENSG00000273328.5	3	3	3	True	True
15	ENSG00000272008	ENSG00000272008.2	3	0	3	False	True
15	ENSG00000273329	ENSG00000273329.3	6	1	3	True	True
15	SYT1-AS1	ENSG00000257894.3	4	2	4	True	True
15	ENSG00000274354	ENSG00000274354.1	1	0	1	False	True
15	ENSG00000273035	ENSG00000273035.1	1	1	1	True	True
15	STAG3L5P-PVRIG2P-PILRB	ENSG00000272752.7	11	1	8	True	True
15	RAI1-AS1	ENSG00000237328.2	3	0	3	False	True
15	C2CD4D-AS1	ENSG00000234614.2	1	1	1	True	True
15	ENSG00000244550	ENSG00000244550.2	7	2	6	True	True
15	NUCB1-AS1	ENSG00000235191.2	2	0	2	False	True
15	LINC00992	ENSG00000248663.8	12	1	11	True	True
15	LINC00994	ENSG00000189196.4	1	0	1	False	True
15	LINC00996	ENSG00000242258.3	7	0	6	False	True
15	LINC00997	ENSG00000281332.1	1	0	1	False	True
15	HAGLR	ENSG00000224189.9	50	2	48	True	True
15	ENSG00000273919	ENSG00000273919.1	1	1	1	True	True
15	ENSG00000274943	ENSG00000274943.1	1	1	1	True	True
15	DPYD-IT1	ENSG00000232542.1	1	1	1	True	True
15	SLC18A2-AS1	ENSG00000225936.3	11	0	6	False	True
15	DDX59-AS1	ENSG00000260088.2	5	5	5	True	True
15	PAQR9-AS1	ENSG00000241570.8	15	15	15	True	True
15	NFATC2IP-AS1	ENSG00000260853.2	3	3	3	True	True
15	ENSG00000272010	ENSG00000272010.1	1	1	1	True	True
15	ENSG00000274653	ENSG00000274653.1	1	1	1	True	True
15	FAM181A-AS1	ENSG00000258584.3,ENSG00000281032.1	10	3	10	True	True
15	THBS4-AS1	ENSG00000249825.7	6	6	6	True	True
15	ENSG00000274654	ENSG00000274654.1	1	1	1	True	True
15	WSPAR	ENSG00000249073.1	1	0	1	False	True
15	ENSG00000273333	ENSG00000273333.2	1	1	1	True	True
15	LIMS1-AS1	ENSG00000228763.1	1	1	1	True	True
15	ENSG00000273335	ENSG00000273335.1	1	0	1	False	True
15	ZFAND3-DT	ENSG00000225945.2	9	0	9	False	True
15	H2AZ2-DT	ENSG00000234183.2	22	3	19	True	True
15	ENSG00000273338	ENSG00000273338.2	1	0	1	False	True
15	ENSG00000275995	ENSG00000275995.1	1	1	1	True	True
15	APOA1-AS	ENSG00000235910.3	2	1	2	True	True
15	ENSG00000213121	ENSG00000213121.3	2	1	2	True	True
15	ENSG00000273040	ENSG00000273040.1	1	0	1	False	True
15	ENSG00000299200	ENSG00000299200.1	16	10	16	True	True
15	ENSG00000215765	ENSG00000215765.3	1	0	1	False	True
15	ENSG00000274363	ENSG00000274363.1	1	0	1	False	True
15	ENSG00000299201	ENSG00000299201.1	10	9	10	True	True
15	EDRF1-AS1	ENSG00000236991.7	17	5	17	True	True
15	ENSG00000274364	ENSG00000274364.1	1	1	1	True	True
15	ENSG00000299202	ENSG00000299202.1	1	1	1	True	True
