id	chromosome	start	end	length	total_kmers	matched_kmer_positions	match_count	match_fraction
negative_0	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	160001392	160002356	964	940	166	185	0.176596
negative_1	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	47203351	47204275	924	900	163	190	0.181111
negative_2	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	79911352	79912219	867	843	154	189	0.182681
negative_3	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	93629968	93630968	1000	976	189	212	0.193648
negative_4	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	174588561	174589444	883	859	158	182	0.183935
negative_5	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	219793945	219794896	951	927	179	215	0.193096
negative_6	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	104731824	104732819	995	971	174	192	0.179197
negative_7	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	159162524	159163501	977	953	186	213	0.195173
negative_8	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	151704867	151705855	988	964	171	178	0.177386
negative_9	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	98709930	98710841	911	887	175	197	0.197294
negative_10	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	206940884	206941799	915	891	146	161	0.163861
negative_11	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	23383547	23384444	897	873	143	161	0.163803
negative_12	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	89615741	89616712	971	947	161	181	0.170011
negative_13	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	146028302	146029280	978	954	178	197	0.186583
negative_14	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	140071421	140072373	952	928	174	197	0.187500
negative_15	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	97606760	97607709	949	925	163	178	0.176216
negative_16	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	236092607	236093588	981	957	165	179	0.172414
negative_17	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	31854873	31855733	860	836	147	158	0.175837
negative_18	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	177482575	177483523	948	924	182	197	0.196970
negative_19	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	46873937	46874827	890	866	151	173	0.174365
negative_20	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	42245485	42246410	925	901	192	223	0.213097
negative_21	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	117324605	117325584	979	955	176	197	0.184293
negative_22	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	158208749	158209666	917	893	152	167	0.170213
negative_23	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	150163981	150164975	994	970	173	191	0.178351
negative_24	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	96943935	96944888	953	929	167	187	0.179763
negative_25	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	132163065	132164050	985	961	211	242	0.219563
negative_26	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	127337425	127338355	930	906	162	179	0.178808
negative_27	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	166668036	166668979	943	919	153	177	0.166485
negative_28	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	23697951	23698912	961	937	184	208	0.196371
negative_29	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	89454794	89455763	969	945	179	193	0.189418
negative_30	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	64561736	64562711	975	951	186	217	0.195584
negative_31	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	101923152	101924016	864	840	153	173	0.182143
negative_32	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	12847649	12848561	912	888	162	185	0.182432
negative_33	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	223841617	223842498	881	857	163	181	0.190198
negative_34	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	179696763	179697656	893	869	163	180	0.187572
negative_35	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	64241821	64242675	854	830	146	166	0.175904
negative_36	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	95846885	95847843	958	934	169	189	0.180942
negative_37	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	239415531	239416436	905	881	185	207	0.209989
negative_38	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	204692730	204693711	981	957	175	194	0.182863
negative_39	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	9422520	9423466	946	922	172	192	0.186551
negative_40	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	232292890	232293832	942	918	175	194	0.190632
negative_41	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	49390096	49390970	874	850	146	167	0.171765
negative_42	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	142998110	142999083	973	949	171	197	0.180190
negative_43	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	107319121	107320020	899	875	170	198	0.194286
negative_44	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	44389222	44390137	915	891	161	180	0.180696
negative_45	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	230967807	230968765	958	934	177	205	0.189507
negative_46	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	224611893	224612759	866	842	170	189	0.201900
negative_47	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	212250149	212251048	899	875	167	180	0.190857
negative_48	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	111106853	111107716	863	839	146	164	0.174017
negative_49	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	107774342	107775260	918	894	169	188	0.189038
negative_50	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	102403419	102404352	933	909	157	179	0.172717
negative_51	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	64779662	64780637	975	951	187	215	0.196635
negative_52	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	215759757	215760668	911	887	169	192	0.190530
negative_53	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	90073625	90074478	853	829	154	183	0.185766
negative_54	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	65325887	65326874	987	963	168	182	0.174455
negative_55	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	180937108	180938027	919	895	139	157	0.155307
negative_56	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	135365203	135366112	909	885	170	192	0.192090
negative_57	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	169747817	169748816	999	975	186	201	0.190769
negative_58	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	41395715	41396695	980	956	174	199	0.182008
negative_59	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	81527128	81528004	876	852	151	178	0.177230
negative_60	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	121734907	121735788	881	857	151	164	0.176196
negative_61	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	30601145	30602110	965	941	182	200	0.193411
negative_62	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	15829004	15829978	974	950	161	181	0.169474
negative_63	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	30034740	30035627	887	863	149	173	0.172654
negative_64	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	140135373	140136337	964	940	167	196	0.177660
negative_65	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	228361619	228362564	945	921	177	188	0.192182
negative_66	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	115298958	115299911	953	929	152	176	0.163617
negative_67	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	187217006	187217977	971	947	177	199	0.186906
negative_68	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	136174591	136175512	921	897	159	180	0.177258
negative_69	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	208422925	208423846	921	897	180	217	0.200669
negative_70	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	249115426	249116365	939	915	167	186	0.182514
negative_71	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	47776586	47777501	915	891	175	196	0.196409
negative_72	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	87681801	87682693	892	868	148	167	0.170507
negative_73	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	218257226	218258226	1000	976	199	224	0.203893
negative_74	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	181905967	181906829	862	838	133	156	0.158711
negative_75	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	135733150	135734069	919	895	168	196	0.187709
negative_76	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	120808124	120809113	989	965	173	201	0.179275
negative_77	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	36860358	36861305	947	923	158	176	0.171181
negative_78	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	67833509	67834416	907	883	154	174	0.174405
negative_79	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	141525376	141526349	973	949	158	174	0.166491
negative_80	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	114238256	114239176	920	896	130	144	0.145089
negative_81	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	211442913	211443883	970	946	174	194	0.183932
negative_82	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	31408322	31409240	918	894	151	169	0.168904
negative_83	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	193853952	193854867	915	891	153	165	0.171717
negative_84	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	83231708	83232569	861	837	149	160	0.178017
negative_85	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	238262909	238263854	945	921	160	181	0.173724
negative_86	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	240652964	240653869	905	881	163	183	0.185017
negative_87	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	216358149	216359148	999	975	189	213	0.193846
negative_88	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	77122051	77122928	877	853	166	188	0.194607
negative_89	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	42731897	42732894	997	973	174	190	0.178828
negative_90	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	178087143	178088110	967	943	158	170	0.167550
negative_91	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	4661320	4662199	879	855	157	174	0.183626
negative_92	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	25111625	25112551	926	902	162	182	0.179601
negative_93	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	111335672	111336668	996	972	191	217	0.196502
negative_94	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	141723198	141724152	954	930	200	218	0.215054
negative_95	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	45837943	45838881	938	914	161	178	0.176149
negative_96	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	151299688	151300547	859	835	133	148	0.159281
negative_97	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	117235376	117236294	918	894	159	179	0.177852
negative_98	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	144219053	144219926	873	849	137	153	0.161366
