genome	assembly	species	display_name	quality_class	total_transcripts	alignment_high_confident_transcripts	kmer_pass_transcripts	overlap_transcripts	overlap_percent_total	overlap_unique_genes	n_percent
human_lncRNA_vs_H9T2Thap2	H9T2Thap2	Human	T2T/H9 hap2	high	197211	186954	197202	186947	94.79542216204977	36683	0.012825
human_lncRNA_vs_H9T2Thap1	H9T2Thap1	Human	T2T/H9 hap1	high	197211	186804	197199	186796	94.718854424956	36671	0.010114
human_lncRNA_vs_patHPRCf2	patHPRCf2	Human	HPRC paternal	high	197211	186671	197191	186654	94.64685032782147	36633	0.05243
human_lncRNA_vs_matHPRCF2	matHPRCF2	Human	HPRC maternal	high	197211	186266	197195	186253	94.44351481408238	36568	0.048982
human_lncRNA_vs_mPanTro3v20pri	mPanTro3v20pri	Chimpanzee	T2T/primary	high	197211	179812	197198	179802	91.17239910552657	36156	0.157344
human_lncRNA_vs_Clintptrv2	Clintptrv2	Chimpanzee	Clint PTRv2	reference	197211	177989	20659	19533	9.904619924852062	4511	1.042654
human_lncRNA_vs_mPanPan1v20pri	mPanPan1v20pri	Bonobo	T2T/primary	high	197211	179558	197197	179546	91.04258890224176	36031	0.155166
human_lncRNA_vs_MhudibluPPAv0	MhudibluPPAv0	Bonobo	Mhudiblu PPA	reference	197211	178433	197191	178415	90.46909148069834	36001	1.197648
human_lncRNA_vs_panpan11	panpan11	Bonobo	panpan1.1	reference	197211	164580	196496	163977	83.14799884387789	34950	17.061596
human_lncRNA_vs_T2TMMU8v20	T2TMMU8v20	Rhesus macaque	T2T-MMU8	high	197211	144467	197186	144456	73.2494637723048	31560	0.0
human_lncRNA_vs_Mmul10	Mmul10	Rhesus macaque	Mmul_10	reference	197211	143584	197189	143573	72.80171998519353	31478	1.159036
