k_size	genome	PASS_STRICT_KMER	PASS_BASIC_KMER	LOW_KMER
15	GCA_018503265.2_NA19240_pat_hprc_f2_genomic	197207	3	1
15	GCA_018503275.2_NA19240_mat_hprc_f2_genomic	197206	4	1
15	GCA_054883195.1_H9_T2T.hap1_genomic	197207	3	1
15	GCA_054883265.1_H9_T2T.hap2_genomic	197204	6	1
15	GCF_000258655.2_panpan1.1_genomic	197184	26	1
15	GCF_002880755.1_Clint_PTRv2_genomic	95152	87738	14321
15	GCF_003339765.1_Mmul_10_genomic	197201	9	1
15	GCF_013052645.1_Mhudiblu_PPA_v0_genomic	197204	6	1
15	GCF_028858775.2_NHGRI_mPanTro3-v2.0_pri_genomic	197205	5	1
15	GCF_029289425.2_NHGRI_mPanPan1-v2.0_pri_genomic	197204	6	1
15	GCF_049350105.2_T2T-MMU8v2.0_genomic	197201	9	1
18	GCA_018503265.2_NA19240_pat_hprc_f2_genomic	196906	304	1
18	GCA_018503275.2_NA19240_mat_hprc_f2_genomic	196861	349	1
18	GCA_054883195.1_H9_T2T.hap1_genomic	196917	293	1
18	GCA_054883265.1_H9_T2T.hap2_genomic	196933	276	2
18	GCF_000258655.2_panpan1.1_genomic	190023	7187	1
18	GCF_002880755.1_Clint_PTRv2_genomic	27231	11616	158364
18	GCF_003339765.1_Mmul_10_genomic	196955	255	1
18	GCF_013052645.1_Mhudiblu_PPA_v0_genomic	196598	612	1
18	GCF_028858775.2_NHGRI_mPanTro3-v2.0_pri_genomic	196820	390	1
18	GCF_029289425.2_NHGRI_mPanPan1-v2.0_pri_genomic	196791	419	1
18	GCF_049350105.2_T2T-MMU8v2.0_genomic	196643	567	1
20	GCA_018503265.2_NA19240_pat_hprc_f2_genomic	197019	191	1
20	GCA_018503275.2_NA19240_mat_hprc_f2_genomic	197015	195	1
20	GCA_054883195.1_H9_T2T.hap1_genomic	197002	208	1
20	GCA_054883265.1_H9_T2T.hap2_genomic	197022	188	1
20	GCF_000258655.2_panpan1.1_genomic	190306	6904	1
20	GCF_002880755.1_Clint_PTRv2_genomic	24357	12210	160644
20	GCF_003339765.1_Mmul_10_genomic	196978	232	1
20	GCF_013052645.1_Mhudiblu_PPA_v0_genomic	196770	440	1
20	GCF_028858775.2_NHGRI_mPanTro3-v2.0_pri_genomic	196963	247	1
20	GCF_029289425.2_NHGRI_mPanPan1-v2.0_pri_genomic	196931	279	1
20	GCF_049350105.2_T2T-MMU8v2.0_genomic	196858	352	1
22	GCA_018503265.2_NA19240_pat_hprc_f2_genomic	197160	49	2
22	GCA_018503275.2_NA19240_mat_hprc_f2_genomic	197187	22	2
22	GCA_054883195.1_H9_T2T.hap1_genomic	197161	48	2
22	GCA_054883265.1_H9_T2T.hap2_genomic	197168	41	2
22	GCF_000258655.2_panpan1.1_genomic	194957	2252	2
22	GCF_002880755.1_Clint_PTRv2_genomic	22404	12974	161833
22	GCF_003339765.1_Mmul_10_genomic	197152	57	2
22	GCF_013052645.1_Mhudiblu_PPA_v0_genomic	197128	81	2
22	GCF_028858775.2_NHGRI_mPanTro3-v2.0_pri_genomic	197136	73	2
22	GCF_029289425.2_NHGRI_mPanPan1-v2.0_pri_genomic	197149	60	2
22	GCF_049350105.2_T2T-MMU8v2.0_genomic	197136	73	2
24	GCA_018503265.2_NA19240_pat_hprc_f2_genomic	197191	18	2
24	GCA_018503275.2_NA19240_mat_hprc_f2_genomic	197195	14	2
24	GCA_054883195.1_H9_T2T.hap1_genomic	197199	10	2
24	GCA_054883265.1_H9_T2T.hap2_genomic	197202	7	2
24	GCF_000258655.2_panpan1.1_genomic	196496	713	2
24	GCF_002880755.1_Clint_PTRv2_genomic	20659	13729	162823
24	GCF_003339765.1_Mmul_10_genomic	197189	20	2
24	GCF_013052645.1_Mhudiblu_PPA_v0_genomic	197191	18	2
24	GCF_028858775.2_NHGRI_mPanTro3-v2.0_pri_genomic	197198	11	2
24	GCF_029289425.2_NHGRI_mPanPan1-v2.0_pri_genomic	197197	12	2
24	GCF_049350105.2_T2T-MMU8v2.0_genomic	197186	23	2
