k_size	transcript_name	gene_name	gene_id	transcript_id	transcript_length	total_kmers	genome_count	strict_pass_count	basic_pass_count	min_matched_kmer_ratio	mean_matched_kmer_ratio	max_matched_kmer_ratio
15	HAR1A-201	HAR1A	ENSG00000225978.4	ENST00000433161.2	1917	1903	11	10	10	0.717288	0.945159	0.996847
18	HAR1A-201	HAR1A	ENSG00000225978.4	ENST00000433161.2	1917	1900	11	10	10	0.545263	0.914354	0.993684
20	HAR1A-201	HAR1A	ENSG00000225978.4	ENST00000433161.2	1917	1898	11	10	10	0.539515	0.913737	0.992624
22	HAR1A-201	HAR1A	ENSG00000225978.4	ENST00000433161.2	1917	1896	11	10	10	0.550633	0.920646	0.995781
24	HAR1A-201	HAR1A	ENSG00000225978.4	ENST00000433161.2	1917	1894	11	10	10	0.543823	0.919555	0.995776
15	HAR1A-202	HAR1A	ENSG00000225978.4	ENST00000806886.1	958	944	11	10	11	0.789195	0.967161	1.0
18	HAR1A-202	HAR1A	ENSG00000225978.4	ENST00000806886.1	958	941	11	10	10	0.555792	0.930635	0.997875
20	HAR1A-202	HAR1A	ENSG00000225978.4	ENST00000806886.1	958	939	11	10	10	0.526092	0.925646	0.998935
22	HAR1A-202	HAR1A	ENSG00000225978.4	ENST00000806886.1	958	937	11	10	10	0.558164	0.931406	1.0
24	HAR1A-202	HAR1A	ENSG00000225978.4	ENST00000806886.1	958	935	11	10	10	0.541176	0.927564	0.99893
15	HAR1A-203	HAR1A	ENSG00000225978.4	ENST00000806887.1	877	863	11	10	11	0.818076	0.974507	0.998841
18	HAR1A-203	HAR1A	ENSG00000225978.4	ENST00000806887.1	877	860	11	10	10	0.553488	0.935201	0.998837
20	HAR1A-203	HAR1A	ENSG00000225978.4	ENST00000806887.1	877	858	11	10	10	0.525641	0.924984	0.997669
22	HAR1A-203	HAR1A	ENSG00000225978.4	ENST00000806887.1	877	856	11	10	10	0.551402	0.93065	0.997664
24	HAR1A-203	HAR1A	ENSG00000225978.4	ENST00000806887.1	877	854	11	10	10	0.550351	0.928465	0.997658
15	ZNF667-AS1-201	ZNF667-AS1	ENSG00000166770.13	ENST00000585445.1	1521	1507	11	10	11	0.84207	0.975146	0.999336
18	ZNF667-AS1-201	ZNF667-AS1	ENSG00000166770.13	ENST00000585445.1	1521	1504	11	10	10	0.658245	0.947292	1.0
20	ZNF667-AS1-201	ZNF667-AS1	ENSG00000166770.13	ENST00000585445.1	1521	1502	11	10	10	0.639814	0.943772	0.997337
22	ZNF667-AS1-201	ZNF667-AS1	ENSG00000166770.13	ENST00000585445.1	1521	1500	11	10	10	0.613333	0.939212	0.998
24	ZNF667-AS1-201	ZNF667-AS1	ENSG00000166770.13	ENST00000585445.1	1521	1498	11	10	10	0.59012	0.940406	0.997997
15	ZNF667-AS1-202	ZNF667-AS1	ENSG00000166770.13	ENST00000586091.9	1079	1065	11	10	11	0.762441	0.962185	0.997183
18	ZNF667-AS1-202	ZNF667-AS1	ENSG00000166770.13	ENST00000586091.9	1079	1062	11	10	10	0.612053	0.939394	0.999058
20	ZNF667-AS1-202	ZNF667-AS1	ENSG00000166770.13	ENST00000586091.9	1079	1060	11	10	10	0.601887	0.937822	1.0
22	ZNF667-AS1-202	ZNF667-AS1	ENSG00000166770.13	ENST00000586091.9	1079	1058	11	10	10	0.598299	0.936329	0.99811
24	ZNF667-AS1-202	ZNF667-AS1	ENSG00000166770.13	ENST00000586091.9	1079	1056	11	10	10	0.570076	0.93354	0.997159
15	ZNF667-AS1-203	ZNF667-AS1	ENSG00000166770.13	ENST00000586822.4	1633	1619	11	10	11	0.827054	0.97344	1.0
18	ZNF667-AS1-203	ZNF667-AS1	ENSG00000166770.13	ENST00000586822.4	1633	1616	11	10	10	0.655322	0.945151	0.998144
20	ZNF667-AS1-203	ZNF667-AS1	ENSG00000166770.13	ENST00000586822.4	1633	1614	11	10	10	0.635068	0.941985	0.99938
22	ZNF667-AS1-203	ZNF667-AS1	ENSG00000166770.13	ENST00000586822.4	1633	1612	11	10	10	0.60794	0.937627	0.998759
24	ZNF667-AS1-203	ZNF667-AS1	ENSG00000166770.13	ENST00000586822.4	1633	1610	11	10	10	0.597516	0.941728	1.0
15	ZNF667-AS1-204	ZNF667-AS1	ENSG00000166770.13	ENST00000588158.2	3022	3008	11	10	11	0.831117	0.976245	1.0
18	ZNF667-AS1-204	ZNF667-AS1	ENSG00000166770.13	ENST00000588158.2	3022	3005	11	10	10	0.562729	0.930691	0.999334
20	ZNF667-AS1-204	ZNF667-AS1	ENSG00000166770.13	ENST00000588158.2	3022	3003	11	10	10	0.546787	0.926528	0.999001
22	ZNF667-AS1-204	ZNF667-AS1	ENSG00000166770.13	ENST00000588158.2	3022	3001	11	10	10	0.557814	0.930841	0.999334
24	ZNF667-AS1-204	ZNF667-AS1	ENSG00000166770.13	ENST00000588158.2	3022	2999	11	10	10	0.559853	0.933584	0.999667
15	ZNF667-AS1-205	ZNF667-AS1	ENSG00000166770.13	ENST00000588685.1	1438	1424	11	10	10	0.650983	0.946055	1.0
18	ZNF667-AS1-205	ZNF667-AS1	ENSG00000166770.13	ENST00000588685.1	1438	1421	11	10	10	0.53765	0.928603	1.0
20	ZNF667-AS1-205	ZNF667-AS1	ENSG00000166770.13	ENST00000588685.1	1438	1419	11	10	10	0.518675	0.924275	1.0
22	ZNF667-AS1-205	ZNF667-AS1	ENSG00000166770.13	ENST00000588685.1	1438	1417	11	10	10	0.544813	0.930262	1.0
24	ZNF667-AS1-205	ZNF667-AS1	ENSG00000166770.13	ENST00000588685.1	1438	1415	11	10	10	0.575265	0.934211	1.0
15	ZNF667-AS1-206	ZNF667-AS1	ENSG00000166770.13	ENST00000591797.1	535	521	11	10	11	0.767754	0.956901	0.996161
18	ZNF667-AS1-206	ZNF667-AS1	ENSG00000166770.13	ENST00000591797.1	535	518	11	10	10	0.600386	0.927869	0.996139
20	ZNF667-AS1-206	ZNF667-AS1	ENSG00000166770.13	ENST00000591797.1	535	516	11	10	10	0.589147	0.928647	0.998062
22	ZNF667-AS1-206	ZNF667-AS1	ENSG00000166770.13	ENST00000591797.1	535	514	11	10	10	0.562257	0.925893	0.990272
24	ZNF667-AS1-206	ZNF667-AS1	ENSG00000166770.13	ENST00000591797.1	535	512	11	10	10	0.533203	0.925604	0.998047
15	ZNF667-AS1-207	ZNF667-AS1	ENSG00000166770.13	ENST00000592146.5	742	728	11	10	11	0.811813	0.96978	0.998626
18	ZNF667-AS1-207	ZNF667-AS1	ENSG00000166770.13	ENST00000592146.5	742	725	11	10	10	0.635862	0.945956	0.998621
20	ZNF667-AS1-207	ZNF667-AS1	ENSG00000166770.13	ENST00000592146.5	742	723	11	10	10	0.627939	0.943669	0.998617
22	ZNF667-AS1-207	ZNF667-AS1	ENSG00000166770.13	ENST00000592146.5	742	721	11	10	10	0.644938	0.941243	0.995839
24	ZNF667-AS1-207	ZNF667-AS1	ENSG00000166770.13	ENST00000592146.5	742	719	11	10	10	0.570236	0.937034	0.994437
15	ZNF667-AS1-208	ZNF667-AS1	ENSG00000166770.13	ENST00000594783.6	1602	1588	11	11	11	0.872796	0.980078	1.0
18	ZNF667-AS1-208	ZNF667-AS1	ENSG00000166770.13	ENST00000594783.6	1602	1585	11	10	10	0.671293	0.947347	0.999369
20	ZNF667-AS1-208	ZNF667-AS1	ENSG00000166770.13	ENST00000594783.6	1602	1583	11	10	10	0.643714	0.942055	0.998737
22	ZNF667-AS1-208	ZNF667-AS1	ENSG00000166770.13	ENST00000594783.6	1602	1581	11	10	10	0.611638	0.936806	0.998102
24	ZNF667-AS1-208	ZNF667-AS1	ENSG00000166770.13	ENST00000594783.6	1602	1579	11	10	10	0.586447	0.937935	0.999367
15	ZNF667-AS1-209	ZNF667-AS1	ENSG00000166770.13	ENST00000601875.3	1443	1429	11	11	11	0.855843	0.977479	1.0
18	ZNF667-AS1-209	ZNF667-AS1	ENSG00000166770.13	ENST00000601875.3	1443	1426	11	10	10	0.664797	0.946704	0.997896
20	ZNF667-AS1-209	ZNF667-AS1	ENSG00000166770.13	ENST00000601875.3	1443	1424	11	10	10	0.646067	0.943884	0.997893
22	ZNF667-AS1-209	ZNF667-AS1	ENSG00000166770.13	ENST00000601875.3	1443	1422	11	10	10	0.62166	0.939458	0.99789
24	ZNF667-AS1-209	ZNF667-AS1	ENSG00000166770.13	ENST00000601875.3	1443	1420	11	10	10	0.592254	0.940077	0.997887
15	ZNF667-AS1-210	ZNF667-AS1	ENSG00000166770.13	ENST00000654200.2	1081	1067	11	10	10	0.727273	0.955781	0.998126
18	ZNF667-AS1-210	ZNF667-AS1	ENSG00000166770.13	ENST00000654200.2	1081	1064	11	10	10	0.609023	0.937885	0.996241
20	ZNF667-AS1-210	ZNF667-AS1	ENSG00000166770.13	ENST00000654200.2	1081	1062	11	10	10	0.591337	0.932289	0.996234
