region_cluster_id	n_raw_intervals	n_member_intervals	n_transcripts	n_genes	n_gene_symbols	total_member_bp	mean_member_len	median_member_len	min_member_len	max_member_len	representative_transcript_id	representative_gene_id	representative_transcript_name	representative_gene_symbol	representative_transcript_length	representative_start	representative_end	representative_region_len	top_gene_symbols	source_n_member_intervals	source_n_transcripts	source_n_genes	source_total_member_bp	representative_transcript_header
SR0000001	193791630	151148	118324	21706	21286	71924559	475.86	314.00	68	19049	ENST00000587762.2	ENSG00000267519.7	MIR23AHG-201	MIR23AHG	19049	1	19049	19049	MUC20-OT1:1225;PCBP1-AS1:568;ENSG00000304176:549;PVT1:483;GUSBP11:482;ENSG00000304309:449;ENSG00000306402:438;FAM66A:430;LINC00293:408;NUTM2A-AS1:406	151148	118324	21706	71924559	ENST00000587762.2|ENSG00000267519.7|OTTHUMG00000181848.2|OTTHUMT00000457941.2|MIR23AHG-201|MIR23AHG|19049|
SR0000002	1384	347	347	2	2	129938	374.46	325.00	81	1304	ENST00000741088.1	ENSG00000256690.2	STX5-DT-203	STX5-DT	1375	72	1375	1304	SNHG1:346;STX5-DT:1	347	347	2	129938	ENST00000741088.1|ENSG00000256690.2|OTTHUMG00000167742.1|-|STX5-DT-203|STX5-DT|1375|
SR0000003	38416	228	208	2	2	36400	159.65	127.00	92	294	ENST00000659610.1	ENSG00000174365.23	SNHG11-223	SNHG11	3513	164	457	294	SNHG17:117;SNHG11:111	228	208	2	36400	ENST00000659610.1|ENSG00000174365.23|OTTHUMG00000032449.27|OTTHUMT00000523997.1|SNHG11-223|SNHG11|3513|
SR0000004	764	162	162	2	2	37490	231.42	136.00	84	360	ENST00000835082.1	ENSG00000308566.1	ENST00000835082	ENSG00000308566	1196	120	479	360	ENSG00000291176:160;ENSG00000308566:2	162	162	2	37490	ENST00000835082.1|ENSG00000308566.1|-|-|ENST00000835082|ENSG00000308566|1196|
SR0000005	584	147	147	2	2	103018	700.80	817.00	130	1181	ENST00000657722.1	ENSG00000238129.6	ENST00000657722	ENSG00000238129	1512	241	1421	1181	MIR663AHG:146;ENSG00000238129:1	147	147	2	103018	ENST00000657722.1|ENSG00000238129.6|OTTHUMG00000032150.2|OTTHUMT00000517221.1|ENST00000657722|ENSG00000238129|1512|
SR0000006	556	140	140	2	2	51196	365.69	269.50	100	1454	ENST00000702633.2	ENSG00000290045.2	ENST00000702633	ENSG00000290045	2554	1	1454	1454	MTMR9LP:139;ENSG00000290045:1	140	140	2	51196	ENST00000702633.2|ENSG00000290045.2|-|-|ENST00000702633|ENSG00000290045|2554|
SR0000007	6244	145	136	2	2	29905	206.24	148.00	98	642	ENST00000752175.1	ENSG00000293511.2	LRRC77P-340	LRRC77P	2386	1482	2123	642	LRRC77P:125;ENSG00000244706:20	145	136	2	29905	ENST00000752175.1|ENSG00000293511.2|-|-|LRRC77P-340|LRRC77P|2386|
SR0000008	724	139	134	3	3	27591	198.50	131.00	91	957	ENST00000786212.1	ENSG00000302373.1	ENST00000786212	ENSG00000302373	3974	1	957	957	HAND2-AS1:134;ENSG00000302373:4;ENSG00000302225:1	139	134	3	27591	ENST00000786212.1|ENSG00000302373.1|-|-|ENST00000786212|ENSG00000302373|3974|
SR0000009	1472	144	115	2	2	76394	530.51	328.00	84	1476	ENST00000665986.1	ENSG00000256128.8	LINC00944-224	LINC00944	1841	366	1841	1476	LINC00943:115;LINC00944:29	144	115	2	76394	ENST00000665986.1|ENSG00000256128.8|OTTHUMG00000168480.20|OTTHUMT00000526898.1|LINC00944-224|LINC00944|1841|
SR0000010	6572	106	106	2	1	143332	1352.19	1441.50	80	2876	ENST00000577164.2	ENSG00000186594.17	MIR22HG-212	MIR22HG	2876	1	2876	2876	MIR22HG:106	106	106	2	143332	ENST00000577164.2|ENSG00000186594.17|OTTHUMG00000132197.7|OTTHUMT00000438303.2|MIR22HG-212|MIR22HG|2876|
SR0000011	11556	99	96	4	3	127078	1283.62	1128.00	163	2396	ENST00000411861.6	ENSG00000130600.23	H19-201	H19	2396	1	2396	2396	H19:61;ENSG00000294171:27;ENSG00000294191:11	99	96	4	127078	ENST00000411861.6|ENSG00000130600.23|OTTHUMG00000012477.7|OTTHUMT00000142897.3|H19-201|H19|2396|
SR0000012	2520	81	79	2	1	80725	996.60	718.00	364	3009	ENST00000659874.1	ENSG00000291300.2	PRSS30P-208	PRSS30P	3009	1	3009	3009	PRSS30P:81	81	79	2	80725	ENST00000659874.1|ENSG00000291300.2|OTTHUMG00000191915.2|OTTHUMT00000525936.1|PRSS30P-208|PRSS30P|3009|
SR0000013	280	72	72	3	3	15575	216.32	108.00	89	1260	ENST00000637474.1	ENSG00000258399.10	MIR493HG-201	MIR493HG	1985	1	1260	1260	MEG3:52;MEG8:19;MIR493HG:1	72	72	3	15575	ENST00000637474.1|ENSG00000258399.10|OTTHUMG00000184365.3|OTTHUMT00000488909.1|MIR493HG-201|MIR493HG|1985|
SR0000014	546	71	71	2	2	19808	278.99	257.00	92	631	ENST00000596250.7	ENSG00000242808.13	SOX2-OT-225	SOX2-OT	3985	1	631	631	SOX2-OT:69;ENSG00000239381:2	71	71	2	19808	ENST00000596250.7|ENSG00000242808.13|OTTHUMG00000158186.13|OTTHUMT00000528997.1|SOX2-OT-225|SOX2-OT|3985|
SR0000015	260	70	70	2	2	22259	317.99	336.00	85	503	ENST00000686432.2	ENSG00000291054.2	ENST00000686432	ENSG00000291054	1375	1	503	503	ENSG00000291054:69;ENSG00000299029:1	70	70	2	22259	ENST00000686432.2|ENSG00000291054.2|-|-|ENST00000686432|ENSG00000291054|1375|
SR0000016	272	69	69	2	2	17871	259.00	259.00	259	259	ENST00000549804.7	ENSG00000224078.16	SNHG14-210	SNHG14	24124	4550	4808	259	SNHG14:68;ENSG00000228933:1	69	69	2	17871	ENST00000549804.7|ENSG00000224078.16|OTTHUMG00000056661.56|OTTHUMT00000408278.5|SNHG14-210|SNHG14|24124|
