gene_name	genome	status	transcript_count
HAR1A	Clintptrv2	UNMAPPED	0
HAR1A	Clintptrv2	LOW_QC	0
HAR1A	Clintptrv2	PASS_BASIC	0
HAR1A	Clintptrv2	PASS_STRICT	3
HAR1A	H9T2Thap1	UNMAPPED	0
HAR1A	H9T2Thap1	LOW_QC	0
HAR1A	H9T2Thap1	PASS_BASIC	0
HAR1A	H9T2Thap1	PASS_STRICT	3
HAR1A	H9T2Thap2	UNMAPPED	0
HAR1A	H9T2Thap2	LOW_QC	0
HAR1A	H9T2Thap2	PASS_BASIC	0
HAR1A	H9T2Thap2	PASS_STRICT	3
HAR1A	MhudibluPPAv0	UNMAPPED	0
HAR1A	MhudibluPPAv0	LOW_QC	0
HAR1A	MhudibluPPAv0	PASS_BASIC	0
HAR1A	MhudibluPPAv0	PASS_STRICT	3
HAR1A	Mmul10	UNMAPPED	0
HAR1A	Mmul10	LOW_QC	0
HAR1A	Mmul10	PASS_BASIC	0
HAR1A	Mmul10	PASS_STRICT	3
HAR1A	T2TMMU8v20	UNMAPPED	0
HAR1A	T2TMMU8v20	LOW_QC	0
HAR1A	T2TMMU8v20	PASS_BASIC	0
HAR1A	T2TMMU8v20	PASS_STRICT	3
HAR1A	mPanPan1v20pri	UNMAPPED	0
HAR1A	mPanPan1v20pri	LOW_QC	0
HAR1A	mPanPan1v20pri	PASS_BASIC	0
HAR1A	mPanPan1v20pri	PASS_STRICT	3
HAR1A	mPanTro3v20pri	UNMAPPED	0
HAR1A	mPanTro3v20pri	LOW_QC	0
HAR1A	mPanTro3v20pri	PASS_BASIC	0
HAR1A	mPanTro3v20pri	PASS_STRICT	3
HAR1A	matHPRCF2	UNMAPPED	0
HAR1A	matHPRCF2	LOW_QC	0
HAR1A	matHPRCF2	PASS_BASIC	0
HAR1A	matHPRCF2	PASS_STRICT	3
HAR1A	panpan11	UNMAPPED	0
HAR1A	panpan11	LOW_QC	0
HAR1A	panpan11	PASS_BASIC	0
HAR1A	panpan11	PASS_STRICT	3
HAR1A	patHPRCf2	UNMAPPED	0
HAR1A	patHPRCf2	LOW_QC	0
HAR1A	patHPRCf2	PASS_BASIC	0
HAR1A	patHPRCf2	PASS_STRICT	3
ZNF667-AS1	Clintptrv2	UNMAPPED	0
ZNF667-AS1	Clintptrv2	LOW_QC	0
ZNF667-AS1	Clintptrv2	PASS_BASIC	0
ZNF667-AS1	Clintptrv2	PASS_STRICT	27
ZNF667-AS1	H9T2Thap1	UNMAPPED	0
ZNF667-AS1	H9T2Thap1	LOW_QC	0
ZNF667-AS1	H9T2Thap1	PASS_BASIC	0
ZNF667-AS1	H9T2Thap1	PASS_STRICT	27
ZNF667-AS1	H9T2Thap2	UNMAPPED	0
ZNF667-AS1	H9T2Thap2	LOW_QC	0
ZNF667-AS1	H9T2Thap2	PASS_BASIC	0
ZNF667-AS1	H9T2Thap2	PASS_STRICT	27
ZNF667-AS1	MhudibluPPAv0	UNMAPPED	0
ZNF667-AS1	MhudibluPPAv0	LOW_QC	0
ZNF667-AS1	MhudibluPPAv0	PASS_BASIC	0
ZNF667-AS1	MhudibluPPAv0	PASS_STRICT	27
ZNF667-AS1	Mmul10	UNMAPPED	1
ZNF667-AS1	Mmul10	LOW_QC	15
ZNF667-AS1	Mmul10	PASS_BASIC	0
ZNF667-AS1	Mmul10	PASS_STRICT	11
ZNF667-AS1	T2TMMU8v20	UNMAPPED	1
ZNF667-AS1	T2TMMU8v20	LOW_QC	15
ZNF667-AS1	T2TMMU8v20	PASS_BASIC	0
ZNF667-AS1	T2TMMU8v20	PASS_STRICT	11
ZNF667-AS1	mPanPan1v20pri	UNMAPPED	0
ZNF667-AS1	mPanPan1v20pri	LOW_QC	0
ZNF667-AS1	mPanPan1v20pri	PASS_BASIC	0
ZNF667-AS1	mPanPan1v20pri	PASS_STRICT	27
ZNF667-AS1	mPanTro3v20pri	UNMAPPED	0
ZNF667-AS1	mPanTro3v20pri	LOW_QC	0
ZNF667-AS1	mPanTro3v20pri	PASS_BASIC	0
ZNF667-AS1	mPanTro3v20pri	PASS_STRICT	27
ZNF667-AS1	matHPRCF2	UNMAPPED	0
ZNF667-AS1	matHPRCF2	LOW_QC	0
ZNF667-AS1	matHPRCF2	PASS_BASIC	0
ZNF667-AS1	matHPRCF2	PASS_STRICT	27
ZNF667-AS1	panpan11	UNMAPPED	0
ZNF667-AS1	panpan11	LOW_QC	0
ZNF667-AS1	panpan11	PASS_BASIC	0
ZNF667-AS1	panpan11	PASS_STRICT	27
ZNF667-AS1	patHPRCf2	UNMAPPED	0
ZNF667-AS1	patHPRCf2	LOW_QC	0
ZNF667-AS1	patHPRCf2	PASS_BASIC	0
ZNF667-AS1	patHPRCf2	PASS_STRICT	27
