transcript_id	gene_id	gene_name
ENST00000471766.4	ENSG00000291076.2	AADACP1
ENST00000754681.1	ENSG00000291076.2	AADACP1
ENST00000754683.1	ENSG00000291076.2	AADACP1
ENST00000754687.1	ENSG00000291076.2	AADACP1
ENST00000754689.1	ENSG00000291076.2	AADACP1
ENST00000754690.1	ENSG00000291076.2	AADACP1
ENST00000754691.1	ENSG00000291076.2	AADACP1
ENST00000754692.1	ENSG00000291076.2	AADACP1
ENST00000754693.1	ENSG00000291076.2	AADACP1
ENST00000451020.6	ENSG00000293360.1	ABCA11P
ENST00000507854.1	ENSG00000293360.1	ABCA11P
ENST00000514396.5	ENSG00000293360.1	ABCA11P
ENST00000422946.1	ENSG00000223882.1	ABCC5-AS1
ENST00000440540.2	ENSG00000234478.2	ACBD3-AS1
ENST00000788843.1	ENSG00000234478.2	ACBD3-AS1
ENST00000788844.1	ENSG00000234478.2	ACBD3-AS1
ENST00000788845.1	ENSG00000234478.2	ACBD3-AS1
ENST00000788846.1	ENSG00000234478.2	ACBD3-AS1
ENST00000788847.1	ENSG00000234478.2	ACBD3-AS1
ENST00000788848.1	ENSG00000234478.2	ACBD3-AS1
ENST00000788849.1	ENSG00000234478.2	ACBD3-AS1
ENST00000376593.2	ENSG00000204581.3	ACOXL-AS1
ENST00000418615.1	ENSG00000204581.3	ACOXL-AS1
ENST00000670010.1	ENSG00000204581.3	ACOXL-AS1
ENST00000466225.4	ENSG00000241158.7	ADAMTS9-AS1
ENST00000470447.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000471990.3	ENSG00000241158.7	ADAMTS9-AS1
ENST00000474313.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000480831.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000493124.3	ENSG00000241158.7	ADAMTS9-AS1
ENST00000594810.3	ENSG00000241158.7	ADAMTS9-AS1
ENST00000597944.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000601022.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000625328.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000625396.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000625433.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000625636.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000625832.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000626014.2	ENSG00000241158.7	ADAMTS9-AS1
ENST00000626280.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000627227.2	ENSG00000241158.7	ADAMTS9-AS1
ENST00000628461.2	ENSG00000241158.7	ADAMTS9-AS1
ENST00000630336.2	ENSG00000241158.7	ADAMTS9-AS1
ENST00000631269.1	ENSG00000241158.7	ADAMTS9-AS1
ENST00000647631.2	ENSG00000241158.7	ADAMTS9-AS1
