transcript_id	gene_id	transcript_name	gene_name	human_lncRNA_vs_Clintptrv2	human_lncRNA_vs_H9T2Thap1	human_lncRNA_vs_H9T2Thap2	human_lncRNA_vs_MhudibluPPAv0	human_lncRNA_vs_Mmul10	human_lncRNA_vs_T2TMMU8v20	human_lncRNA_vs_mPanPan1v20pri	human_lncRNA_vs_mPanTro3v20pri	human_lncRNA_vs_matHPRCF2	human_lncRNA_vs_panpan11	human_lncRNA_vs_patHPRCf2	strict_pass_count	basic_pass_count	genome_count
ENST00000433161.2	ENSG00000225978.4	HAR1A-201	HAR1A	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000806886.1	ENSG00000225978.4	HAR1A-202	HAR1A	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000806887.1	ENSG00000225978.4	HAR1A-203	HAR1A	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000585445.1	ENSG00000166770.13	ZNF667-AS1-201	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000586091.9	ENSG00000166770.13	ZNF667-AS1-202	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000586822.4	ENSG00000166770.13	ZNF667-AS1-203	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000588158.2	ENSG00000166770.13	ZNF667-AS1-204	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000588685.1	ENSG00000166770.13	ZNF667-AS1-205	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000591797.1	ENSG00000166770.13	ZNF667-AS1-206	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000592146.5	ENSG00000166770.13	ZNF667-AS1-207	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000594783.6	ENSG00000166770.13	ZNF667-AS1-208	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000601875.3	ENSG00000166770.13	ZNF667-AS1-209	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000654200.2	ENSG00000166770.13	ZNF667-AS1-210	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000654382.1	ENSG00000166770.13	ZNF667-AS1-211	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000661902.2	ENSG00000166770.13	ZNF667-AS1-212	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000664785.1	ENSG00000166770.13	ZNF667-AS1-213	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000665045.1	ENSG00000166770.13	ZNF667-AS1-214	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	UNMAPPED	UNMAPPED	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000667367.1	ENSG00000166770.13	ZNF667-AS1-215	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000669162.3	ENSG00000166770.13	ZNF667-AS1-216	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000670294.2	ENSG00000166770.13	ZNF667-AS1-217	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000685306.2	ENSG00000166770.13	ZNF667-AS1-218	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000691191.1	ENSG00000166770.13	ZNF667-AS1-219	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000693493.3	ENSG00000166770.13	ZNF667-AS1-220	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000809477.1	ENSG00000166770.13	ZNF667-AS1-221	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000809478.1	ENSG00000166770.13	ZNF667-AS1-222	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000809479.1	ENSG00000166770.13	ZNF667-AS1-223	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000809480.1	ENSG00000166770.13	ZNF667-AS1-224	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000809481.1	ENSG00000166770.13	ZNF667-AS1-225	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	LOW_QC	LOW_QC	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	9	9	11
ENST00000809482.1	ENSG00000166770.13	ZNF667-AS1-226	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
ENST00000809483.1	ENSG00000166770.13	ZNF667-AS1-227	ZNF667-AS1	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	PASS_STRICT	11	11	11
