transcript_id	gene_id	transcript_name	gene_name	high_confident_pass_count	strict_pass_count	basic_pass_count	genome_count	high_confident_all_genomes
ENST00000444968.1	ENSG00000240731.1	ENST00000444968	ENSG00000240731	9	9	9	11	0
ENST00000806656.1	ENSG00000304860.1	ENST00000806656	ENSG00000304860	11	11	11	11	1
ENST00000806657.1	ENSG00000304860.1	ENST00000806657	ENSG00000304860	11	11	11	11	1
ENST00000806658.1	ENSG00000304860.1	ENST00000806658	ENSG00000304860	11	11	11	11	1
ENST00000806659.1	ENSG00000304860.1	ENST00000806659	ENSG00000304860	10	10	10	11	0
ENST00000806660.1	ENSG00000304860.1	ENST00000806660	ENSG00000304860	11	11	11	11	1
ENST00000448629.9	ENSG00000224870.10	MRPL20-AS1-204	MRPL20-AS1	11	11	11	11	1
ENST00000444362.3	ENSG00000224870.10	MRPL20-AS1-202	MRPL20-AS1	11	11	11	11	1
ENST00000572242.2	ENSG00000224870.10	MRPL20-AS1-207	MRPL20-AS1	11	11	11	11	1
ENST00000659048.2	ENSG00000224870.10	MRPL20-AS1-209	MRPL20-AS1	11	11	11	11	1
ENST00000780221.1	ENSG00000224870.10	MRPL20-AS1-216	MRPL20-AS1	11	11	11	11	1
ENST00000685968.2	ENSG00000224870.10	MRPL20-AS1-210	MRPL20-AS1	11	11	11	11	1
ENST00000780220.1	ENSG00000224870.10	MRPL20-AS1-215	MRPL20-AS1	11	11	11	11	1
ENST00000418833.2	ENSG00000224870.10	MRPL20-AS1-201	MRPL20-AS1	11	11	11	11	1
ENST00000780222.1	ENSG00000224870.10	MRPL20-AS1-217	MRPL20-AS1	11	11	11	11	1
ENST00000689419.3	ENSG00000224870.10	MRPL20-AS1-211	MRPL20-AS1	9	9	10	11	0
ENST00000702056.2	ENSG00000224870.10	MRPL20-AS1-213	MRPL20-AS1	11	11	11	11	1
ENST00000780223.1	ENSG00000224870.10	MRPL20-AS1-218	MRPL20-AS1	11	11	11	11	1
ENST00000702620.2	ENSG00000224870.10	MRPL20-AS1-214	MRPL20-AS1	11	11	11	11	1
ENST00000690954.1	ENSG00000224870.10	MRPL20-AS1-212	MRPL20-AS1	10	10	11	11	0
ENST00000576232.2	ENSG00000224870.10	MRPL20-AS1-208	MRPL20-AS1	11	11	11	11	1
ENST00000570344.2	ENSG00000224870.10	MRPL20-AS1-206	MRPL20-AS1	11	11	11	11	1
ENST00000447725.2	ENSG00000224870.10	MRPL20-AS1-203	MRPL20-AS1	11	11	11	11	1
ENST00000453521.1	ENSG00000224870.10	MRPL20-AS1-205	MRPL20-AS1	9	9	10	11	0
ENST00000780355.1	ENSG00000301639.1	ENST00000780355	ENSG00000301639	9	9	9	11	0
ENST00000607307.1	ENSG00000272455.1	MRPL20-DT-201	MRPL20-DT	8	8	8	11	0
ENST00000428932.1	ENSG00000225905.2	ANKRD65-AS1-201	ANKRD65-AS1	10	10	10	11	0
ENST00000781681.1	ENSG00000225905.2	ANKRD65-AS1-202	ANKRD65-AS1	11	11	11	11	1
ENST00000730008.1	ENSG00000225285.2	LINC01770-233	LINC01770	11	11	11	11	1
ENST00000417917.2	ENSG00000225285.2	LINC01770-201	LINC01770	11	11	11	11	1
ENST00000454562.2	ENSG00000225285.2	LINC01770-204	LINC01770	11	11	11	11	1
ENST00000434150.2	ENSG00000225285.2	LINC01770-203	LINC01770	11	11	11	11	1
ENST00000730009.1	ENSG00000225285.2	LINC01770-234	LINC01770	11	11	11	11	1
ENST00000730003.1	ENSG00000225285.2	LINC01770-228	LINC01770	11	11	11	11	1
ENST00000730014.1	ENSG00000225285.2	LINC01770-239	LINC01770	11	11	11	11	1
ENST00000730001.1	ENSG00000225285.2	LINC01770-226	LINC01770	11	11	11	11	1
ENST00000729995.1	ENSG00000225285.2	LINC01770-220	LINC01770	11	11	11	11	1
ENST00000729996.1	ENSG00000225285.2	LINC01770-221	LINC01770	11	11	11	11	1
ENST00000729994.1	ENSG00000225285.2	LINC01770-219	LINC01770	11	11	11	11	1
ENST00000729980.1	ENSG00000225285.2	LINC01770-205	LINC01770	11	11	11	11	1
ENST00000730002.1	ENSG00000225285.2	LINC01770-227	LINC01770	11	11	11	11	1
ENST00000730013.1	ENSG00000225285.2	LINC01770-238	LINC01770	11	11	11	11	1
ENST00000729985.1	ENSG00000225285.2	LINC01770-210	LINC01770	11	11	11	11	1
ENST00000729986.1	ENSG00000225285.2	LINC01770-211	LINC01770	11	11	11	11	1
ENST00000730010.1	ENSG00000225285.2	LINC01770-235	LINC01770	11	11	11	11	1
ENST00000729983.1	ENSG00000225285.2	LINC01770-208	LINC01770	11	11	11	11	1
ENST00000730004.1	ENSG00000225285.2	LINC01770-229	LINC01770	11	11	11	11	1
ENST00000730005.1	ENSG00000225285.2	LINC01770-230	LINC01770	11	11	11	11	1
ENST00000729984.1	ENSG00000225285.2	LINC01770-209	LINC01770	11	11	11	11	1
ENST00000730012.1	ENSG00000225285.2	LINC01770-237	LINC01770	11	11	11	11	1
ENST00000729982.1	ENSG00000225285.2	LINC01770-207	LINC01770	11	11	11	11	1
ENST00000730016.1	ENSG00000225285.2	LINC01770-241	LINC01770	11	11	11	11	1
ENST00000730015.1	ENSG00000225285.2	LINC01770-240	LINC01770	11	11	11	11	1
ENST00000730011.1	ENSG00000225285.2	LINC01770-236	LINC01770	11	11	11	11	1
ENST00000729981.1	ENSG00000225285.2	LINC01770-206	LINC01770	11	11	11	11	1
ENST00000729989.1	ENSG00000225285.2	LINC01770-214	LINC01770	11	11	11	11	1
ENST00000730007.1	ENSG00000225285.2	LINC01770-232	LINC01770	11	11	11	11	1
ENST00000730017.1	ENSG00000225285.2	LINC01770-242	LINC01770	11	11	11	11	1
ENST00000729988.1	ENSG00000225285.2	LINC01770-213	LINC01770	11	11	11	11	1
ENST00000730006.1	ENSG00000225285.2	LINC01770-231	LINC01770	11	11	11	11	1
ENST00000730000.1	ENSG00000225285.2	LINC01770-225	LINC01770	11	11	11	11	1
ENST00000729998.1	ENSG00000225285.2	LINC01770-223	LINC01770	11	11	11	11	1
ENST00000729997.1	ENSG00000225285.2	LINC01770-222	LINC01770	11	11	11	11	1
ENST00000729992.1	ENSG00000225285.2	LINC01770-217	LINC01770	11	11	11	11	1
ENST00000729991.1	ENSG00000225285.2	LINC01770-216	LINC01770	11	11	11	11	1
ENST00000729990.1	ENSG00000225285.2	LINC01770-215	LINC01770	11	11	11	11	1
ENST00000729987.1	ENSG00000225285.2	LINC01770-212	LINC01770	11	11	11	11	1
ENST00000729999.1	ENSG00000225285.2	LINC01770-224	LINC01770	11	11	11	11	1
ENST00000430109.2	ENSG00000225285.2	LINC01770-202	LINC01770	11	11	11	11	1
ENST00000729993.1	ENSG00000225285.2	LINC01770-218	LINC01770	11	11	11	11	1
ENST00000730018.1	ENSG00000225285.2	LINC01770-243	LINC01770	11	11	11	11	1
ENST00000734699.1	ENSG00000290916.2	ENST00000734699	ENSG00000290916	7	7	7	11	0
ENST00000641974.2	ENSG00000290916.2	ENST00000641974	ENSG00000290916	9	9	9	11	0
ENST00000734697.1	ENSG00000290916.2	ENST00000734697	ENSG00000290916	8	8	8	11	0
ENST00000734698.1	ENSG00000290916.2	ENST00000734698	ENSG00000290916	8	8	8	11	0
ENST00000692936.2	ENSG00000290916.2	ENST00000692936	ENSG00000290916	8	8	8	11	0
ENST00000734700.1	ENSG00000290916.2	ENST00000734700	ENSG00000290916	7	7	7	11	0
ENST00000763257.1	ENSG00000299413.1	ENST00000763257	ENSG00000299413	11	11	11	11	1
ENST00000647566.1	ENSG00000215014.5	SSU72-AS1-202	SSU72-AS1	4	9	9	11	0
ENST00000366221.4	ENSG00000215014.5	SSU72-AS1-201	SSU72-AS1	11	11	11	11	1
ENST00000828257.1	ENSG00000286989.2	ENST00000828257	ENSG00000286989	11	11	11	11	1
ENST00000658591.1	ENSG00000286989.2	ENST00000658591	ENSG00000286989	11	11	11	11	1
ENST00000828256.1	ENSG00000286989.2	ENST00000828256	ENSG00000286989	11	11	11	11	1
ENST00000607222.1	ENSG00000272106.1	ENST00000607222	ENSG00000272106	10	10	10	11	0
ENST00000848010.1	ENSG00000310190.1	ENST00000848010	ENSG00000310190	7	7	7	11	0
