gene_id	gene_name	transcript_count	alignment_strict_transcripts	bonobo_kmer_strict_transcripts	all_genomes_kmer_strict_transcripts	bonobo_three_way_transcripts	all_genomes_three_way_transcripts	expression_available	gene_expressed	expressed_sample_count	expressed_sample_fraction	mean_fpkm	median_fpkm	max_fpkm	alignment_strict	bonobo_kmer_strict	all_genomes_kmer_strict	kmer_conservation_class
ENSG00000240731.1	ENSG00000240731	1	1	1	0	1	0	True	True	98.0	1.0	64.19461287626982	53.225202538566	306.781119433216	True	True	False	Strict in bonobo only
ENSG00000304860.1	ENSG00000304860	5	5	5	0	5	0	True	True	98.0	1.0	99.05928572677036	86.18942303764585	334.881875772906	True	True	False	Strict in bonobo only
ENSG00000224870.10	MRPL20-AS1	18	18	18	0	18	0	True	True	98.0	1.0	162.75229068800974	146.5090244941835	425.842539933392	True	True	False	Strict in bonobo only
ENSG00000301639.1	ENSG00000301639	1	1	1	0	1	0	True	True	96.0	0.9795918367346939	27.68748883887589	22.7875763176555	124.807960260782	True	True	False	Strict in bonobo only
ENSG00000272455.1	MRPL20-DT	1	1	1	1	1	1	True	True	98.0	1.0	22.107704837861558	18.98661095845005	72.7089412608698	True	True	True	Strict across all genomes
ENSG00000225905.2	ANKRD65-AS1	2	2	2	2	2	2	True	True	96.0	0.9795918367346939	11.53044072445097	7.6808145267465395	85.4631866345377	True	True	True	Strict across all genomes
ENSG00000225285.2	LINC01770	43	43	43	0	43	0	True	True	98.0	1.0	113.9743129689859	54.761998359837904	921.990830102156	True	True	False	Strict in bonobo only
ENSG00000290916.2	ENSG00000290916	6	6	6	6	6	6	True	True	98.0	1.0	7.469081137573758	5.503463921186595	30.145640164867	True	True	True	Strict across all genomes
ENSG00000299413.1	ENSG00000299413	1	1	1	1	1	1	True	True	98.0	1.0	161.65442831288874	135.357144585418	1105.58556337427	True	True	True	Strict across all genomes
ENSG00000215014.5	SSU72-AS1	2	2	2	1	2	1	True	True	98.0	1.0	11.514446886568438	9.341489855573405	45.195864536375	True	True	True	Strict across all genomes
ENSG00000286989.2	ENSG00000286989	3	3	3	1	3	1	True	True	98.0	1.0	28.44504998592302	18.57643140696	146.036630172664	True	True	True	Strict across all genomes
ENSG00000272106.1	ENSG00000272106	1	1	1	0	1	0	True	True	98.0	1.0	82.39606252738338	75.07900268988254	341.228119273214	True	True	False	Strict in bonobo only
ENSG00000310190.1	ENSG00000310190	35	26	35	32	26	23	True	True	98.0	1.0	15.236009999718595	13.4726379520963	67.330245907517	True	True	True	Strict across all genomes
ENSG00000268575.1	ENSG00000268575	1	1	1	0	1	0	True	True	98.0	1.0	319.42235276199324	274.147472443622	1056.53348717545	True	True	False	Strict in bonobo only
ENSG00000293188.2	ENSG00000293188	6	4	6	0	4	0	True	True	98.0	1.0	24.325864582013747	19.045117970310102	88.2668757461804	True	True	False	Strict in bonobo only
ENSG00000272004.2	ENSG00000272004	4	4	4	1	4	1	True	True	28.0	0.2857142857142857	0.40740883886472545	0.0	6.13455502628608	True	True	True	Strict across all genomes
ENSG00000290854.2	ENSG00000290854	4	3	4	0	3	0	True	True	98.0	1.0	15.784688901568554	10.922067773208301	87.487619047122	True	True	False	Strict in bonobo only
ENSG00000293187.1	ENSG00000293187	1	1	1	0	1	0	True	True	69.0	0.7040816326530612	3.5137280630816314	2.1903764292226002	21.6929535369741	True	True	False	Strict in bonobo only
ENSG00000310238.1	ENSG00000310238	3	0	3	0	0	0	False	False	0.0	0.0	0.0	0.0	0.0	False	False	False	Not strict in bonobo
ENSG00000302550.1	ENSG00000302550	3	3	3	3	3	3	True	True	98.0	1.0	2796.613432327458	2507.676214314405	9746.10014814697	True	True	True	Strict across all genomes
ENSG00000231050.4	GNB1-DT	18	18	18	18	18	18	True	True	98.0	1.0	33.07812239308425	27.8455374565384	171.733578490729	True	True	True	Strict across all genomes
ENSG00000303984.1	ENSG00000303984	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
