transcript_id	gene_id	gene_name
ENST00000499762.2	ENSG00000245105.5	A2M-AS1
ENST00000648157.2	ENSG00000245105.5	A2M-AS1
ENST00000667950.1	ENSG00000245105.5	A2M-AS1
ENST00000670582.1	ENSG00000245105.5	A2M-AS1
ENST00000839574.1	ENSG00000245105.5	A2M-AS1
ENST00000839575.1	ENSG00000245105.5	A2M-AS1
ENST00000537288.1	ENSG00000256661.1	A2ML1-AS1
ENST00000543404.5	ENSG00000291190.1	A2MP1
ENST00000579745.1	ENSG00000265544.2	AA06
ENST00000726422.1	ENSG00000265544.2	AA06
ENST00000726423.1	ENSG00000265544.2	AA06
ENST00000503486.6	ENSG00000291019.1	AACSP1
ENST00000462937.4	ENSG00000291076.2	AADACP1
ENST00000463420.4	ENSG00000291076.2	AADACP1
ENST00000471766.4	ENSG00000291076.2	AADACP1
ENST00000483636.7	ENSG00000291076.2	AADACP1
ENST00000690661.3	ENSG00000291076.2	AADACP1
ENST00000701452.1	ENSG00000291076.2	AADACP1
ENST00000716341.1	ENSG00000291076.2	AADACP1
ENST00000754662.1	ENSG00000291076.2	AADACP1
ENST00000754663.1	ENSG00000291076.2	AADACP1
ENST00000754664.1	ENSG00000291076.2	AADACP1
ENST00000754665.1	ENSG00000291076.2	AADACP1
ENST00000754666.1	ENSG00000291076.2	AADACP1
ENST00000754667.1	ENSG00000291076.2	AADACP1
ENST00000754668.1	ENSG00000291076.2	AADACP1
ENST00000754669.1	ENSG00000291076.2	AADACP1
ENST00000754670.1	ENSG00000291076.2	AADACP1
ENST00000754671.1	ENSG00000291076.2	AADACP1
ENST00000754672.1	ENSG00000291076.2	AADACP1
ENST00000754673.1	ENSG00000291076.2	AADACP1
ENST00000754674.1	ENSG00000291076.2	AADACP1
ENST00000754681.1	ENSG00000291076.2	AADACP1
ENST00000754683.1	ENSG00000291076.2	AADACP1
ENST00000754687.1	ENSG00000291076.2	AADACP1
ENST00000754688.1	ENSG00000291076.2	AADACP1
ENST00000754689.1	ENSG00000291076.2	AADACP1
ENST00000754690.1	ENSG00000291076.2	AADACP1
ENST00000754691.1	ENSG00000291076.2	AADACP1
ENST00000754692.1	ENSG00000291076.2	AADACP1
ENST00000754693.1	ENSG00000291076.2	AADACP1
ENST00000527594.1	ENSG00000254433.1	AASDHPPT-AS1
ENST00000532422.1	ENSG00000254433.1	AASDHPPT-AS1
ENST00000400385.2	ENSG00000215458.9	AATBC
ENST00000448247.5	ENSG00000215458.9	AATBC
ENST00000808738.1	ENSG00000215458.9	AATBC
ENST00000808739.1	ENSG00000215458.9	AATBC
ENST00000808740.1	ENSG00000215458.9	AATBC
ENST00000629058.1	ENSG00000281376.1	ABALON
ENST00000451020.6	ENSG00000293360.1	ABCA11P
ENST00000507854.1	ENSG00000293360.1	ABCA11P
ENST00000514396.5	ENSG00000293360.1	ABCA11P
ENST00000469908.5	ENSG00000293423.2	ABCA17P
ENST00000482286.6	ENSG00000293423.2	ABCA17P
ENST00000512848.6	ENSG00000293423.2	ABCA17P
ENST00000640929.1	ENSG00000293423.2	ABCA17P
ENST00000718876.1	ENSG00000293423.2	ABCA17P
ENST00000718877.1	ENSG00000293423.2	ABCA17P
ENST00000718878.1	ENSG00000293423.2	ABCA17P
ENST00000718879.1	ENSG00000293423.2	ABCA17P
ENST00000718880.1	ENSG00000293423.2	ABCA17P
ENST00000718881.1	ENSG00000293423.2	ABCA17P
ENST00000718882.1	ENSG00000293423.2	ABCA17P
ENST00000718883.1	ENSG00000293423.2	ABCA17P
ENST00000718884.1	ENSG00000293423.2	ABCA17P
ENST00000718885.1	ENSG00000293423.2	ABCA17P
